figure_id,pdf_page,status,match_score,second_best_score,page_image,adversarial_image,message,,,
fig_013,18,ok,0.900199,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_013_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_013_page_adverserial.png,template,,,
fig_014,13,ok,0.853983,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_014_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_014_page_adverserial.png,template,,,
fig_015,8,manual,0.585732,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_015_page.png,,below_threshold,,,
fig_016,19,ok,0.906258,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_016_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_016_page_adverserial.png,template,,,
fig_017,2,ok,0.912895,0.0009,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_017_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_017_page_adverserial.png,template,,,
fig_018,22,ok,0.950003,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_018_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_018_page_adverserial.png,template,,,
fig_019,23,ok,0.919766,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_019_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_019_page_adverserial.png,template,,,
fig_020,7,ok,0.911948,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_020_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_020_page_adverserial.png,template,,,
fig_021,8,ok,0.90207,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_021_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_021_page_adverserial.png,template,,,
fig_022,19,ok,0.959732,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_022_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_022_page_adverserial.png,template,,,
fig_023,4,ok,0.755136,0.358117,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_023_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_023_page_adverserial.png,template,,,
fig_024,5,ok,0.94194,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_024_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_024_page_adverserial.png,template,,,
fig_025,15,ok,0.79634,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_025_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_025_page_adverserial.png,template,,,
fig_026,4,ok,0.943246,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_026_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_026_page_adverserial.png,template,,,
fig_027,6,ok,0.874384,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_027_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_027_page_adverserial.png,template,,,
fig_028,7,ok,0.854255,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_028_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_028_page_adverserial.png,template,,,
fig_029,3,ok,0.916948,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_029_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_029_page_adverserial.png,template,,,
fig_030,10,ok,0.966629,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_030_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_030_page_adverserial.png,template,,,
fig_031,6,ok,0.842681,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_031_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_031_page_adverserial.png,template,,,
fig_032,7,ok,0.925434,0.499753,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_032_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_032_page_adverserial.png,template,,,
fig_033,26,ok,0.881466,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_033_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_033_page_adverserial.png,template,,,
fig_034,4,ok,0.92985,0.29576,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_034_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_034_page_adverserial.png,template,,,
fig_035,8,ok,0.94006,0.184066,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_035_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_035_page_adverserial.png,template,,,
fig_036,16,ok,0.967753,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_036_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_036_page_adverserial.png,template,,,
fig_037,15,ok,0.761043,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_037_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_037_page_adverserial.png,template,,,
fig_038,7,ok,0.794681,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_038_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_038_page_adverserial.png,template,,,
fig_039,20,ok,0.842524,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_039_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_039_page_adverserial.png,template,,,
fig_040,25,ok,0.850321,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_040_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_040_page_adverserial.png,template,,,
fig_041,8,ok,0.948665,0.353431,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_041_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_041_page_adverserial.png,template,,,
fig_042,7,ok,0.969046,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_042_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_042_page_adverserial.png,template,,,
fig_043,8,ok,0.951926,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_043_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_043_page_adverserial.png,template,,,
fig_044,5,ok,0.855734,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_044_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_044_page_adverserial.png,template,,,
fig_045,7,ok,0.789674,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_045_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_045_page_adverserial.png,template,,,
fig_046,6,manual,0.909692,0.909691,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_046_page.png,,ambiguous,,,
fig_047,31,ok,0.850898,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_047_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_047_page_adverserial.png,template,,,
fig_048,15,ok,0.91467,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_048_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_048_page_adverserial.png,template,,,
fig_049,14,ok,0.990499,0.794756,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_049_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_049_page_adverserial.png,embedded,,,
fig_050,8,ok,0.924936,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_050_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_050_page_adverserial.png,template,,,
fig_051,6,ok,0.934924,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_051_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_051_page_adverserial.png,template,,,
fig_052,6,ok,0.912492,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_052_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_052_page_adverserial.png,template,,,
fig_054,5,ok,0.863346,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_054_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_054_page_adverserial.png,template,,,
fig_055,8,ok,0.982177,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_055_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_055_page_adverserial.png,template,,,
fig_056,5,ok,0.730329,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_056_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_056_page_adverserial.png,template,,,
fig_057,25,ok,0.755066,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_057_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_057_page_adverserial.png,template,,,
fig_058,7,ok,0.788762,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_058_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_058_page_adverserial.png,template,,,
fig_059,16,ok,0.929214,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_059_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_059_page_adverserial.png,template,,,
fig_060,5,ok,0.749678,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_060_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_060_page_adverserial.png,template,,,
fig_061,9,ok,0.881391,0.425941,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_061_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_061_page_adverserial.png,template,,,
fig_062,13,ok,0.841847,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_062_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_062_page_adverserial.png,template,,,
fig_063,1,ok,1,0.759433,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_063_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_063_page_adverserial.png,embedded,,,
fig_064,5,ok,0.65714,0.352574,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_064_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_064_page_adverserial.png,embedded,,,
fig_065,8,ok,0.978425,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_065_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_065_page_adverserial.png,template,,,
fig_066,6,ok,0.908337,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_066_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_066_page_adverserial.png,template,,,
fig_067,29,ok,0.922785,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_067_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_067_page_adverserial.png,template,,,
fig_068,5,ok,0.984101,0.526555,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_068_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_068_page_adverserial.png,template,,,
fig_069,18,ok,0.917196,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_069_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_069_page_adverserial.png,template,,,
fig_070,7,ok,0.944831,0.547574,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_070_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_070_page_adverserial.png,template,,,
fig_071,16,ok,0.950237,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_071_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_071_page_adverserial.png,template,,,
fig_072,8,ok,0.897174,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_072_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_072_page_adverserial.png,template,,,
fig_073,7,manual,0.722997,0.693758,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_073_page.png,,ambiguous,,,
fig_074,8,ok,0.794213,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_074_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_074_page_adverserial.png,template,,,
fig_075,12,manual,0.614749,0.614745,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_075_page.png,,ambiguous,,,
fig_076,6,ok,0.781366,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_076_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_076_page_adverserial.png,template,,,
fig_077,16,ok,0.950519,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_077_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_077_page_adverserial.png,template,,,
fig_078,8,ok,0.964658,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_078_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_078_page_adverserial.png,template,,,
fig_079,7,ok,0.977159,0.792793,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_079_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_079_page_adverserial.png,template,,,
fig_080,6,ok,0.961643,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_080_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_080_page_adverserial.png,template,,,
fig_081,11,manual,1,1,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_081_page.png,,ambiguous,,,
fig_082,5,ok,0.983469,0.519323,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_082_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_082_page_adverserial.png,template,,,
fig_083,5,ok,0.752291,0.544469,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_083_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_083_page_adverserial.png,template,,,
fig_084,7,manual,0.963814,0.94994,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_084_page.png,,ambiguous,,,
fig_085,21,ok,0.917406,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_085_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_085_page_adverserial.png,template,,,
fig_086,8,ok,0.641957,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_086_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_086_page_adverserial.png,template,,,
fig_087,3,ok,0.836908,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_087_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_087_page_adverserial.png,template,,,
fig_088,8,ok,0.942909,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_088_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_088_page_adverserial.png,template,,,
